happy | /ˈhæpi/ | adj | Vui vẻ, hạnh phúc | A1 | Emotions & Personality
hurt | /hɜːt/ | v/adj | Làm đau, bị đau | A1 | Health & Lifestyle
cold | /kəʊld/ | n | Cảm lạnh | A2 | Health & Lifestyle
flu | /fluː/ | n | Cảm cúm | A2 | Health & Lifestyle
fever | /ˈfiːvər/ | n | Sốt | A2 | Health & Lifestyle
cough | /kɒf/ | n/v | Ho, tiếng ho | A2 | Health & Lifestyle
headache | /ˈhedeɪk/ | n | Đau đầu | A2 | Health & Lifestyle
toothache | /ˈtuːθeɪk/ | n | Đau răng | A2 | Health & Lifestyle
stomach ache | /ˈstʌmək eɪk/ | n | Đau bụng, đau dạ dày | A2 | Health & Lifestyle
earache | /ˈɪəreɪk/ | n | Đau tai | A2 | Health & Lifestyle
sore throat | /ˌsɔː ˈθrəʊt/ | n | Đau họng | A2 | Health & Lifestyle
allergy | /ˈælədʒi/ | n | Dị ứng | A2 | Health & Lifestyle
disease | /dɪˈziːz/ | n | Bệnh tật | A2 | Health & Lifestyle
injury | /ˈɪndʒəri/ | n | Chấn thương, vết thương | A2 | Health & Lifestyle
bleed | /bliːd/ | v | Chảy máu | A2 | Health & Lifestyle
burn | /bɜːn/ | v/n | Vết bỏng / Bị bỏng | A2 | Health & Lifestyle
dizzy | /ˈdɪzi/ | adj | Chóng mặt | A2 | Health & Lifestyle
hospital | /ˈhɒspɪtl/ | n | Bệnh viện | A1 | Health & Lifestyle
pharmacy | /ˈfɑːməsi/ | n | Hiệu thuốc (Anh) | A2 | Health & Lifestyle
drugstore | /ˈdrʌɡstɔːr/ | n | Hiệu thuốc (Mỹ) | A2 | Health & Lifestyle
medicine | /ˈmedsn/ | n | Thuốc | A2 | Health & Lifestyle
pill | /pɪl/ | n | Viên thuốc nhộng/tròn | A2 | Health & Lifestyle
tablet | /ˈtæblət/ | n | Viên thuốc nén | A2 | Health & Lifestyle
cream | /kriːm/ | n | Kem bôi da | A2 | Health & Lifestyle
bandage | /ˈbændɪdʒ/ | n | Băng gạc | A2 | Health & Lifestyle
plaster | /ˈplɑːstər/ | n | Băng dán cá nhân | A2 | Health & Lifestyle
appointment | /əˈpɔɪntmənt/ | n | Cuộc hẹn (khám bệnh) | A2 | Health & Lifestyle
prescription | /prɪˈskrɪpʃn/ | n | Đơn thuốc | A2 | Health & Lifestyle
exercise | /ˈeksəsaɪz/ | n/v | Tập thể dục / Bài tập | A2 | Health & Lifestyle
gym | /dʒɪm/ | n | Phòng tập thể hình | A1 | Health & Lifestyle
diet | /ˈdaɪət/ | n | Chế độ ăn uống | A2 | Health & Lifestyle
fruit | /fruːt/ | n | Trái cây | A1 | Health & Lifestyle
vegetable | /ˈvedʒtəbl/ | n | Rau củ | A1 | Health & Lifestyle
vitamin | /ˈvɪtəmɪn/ | n | Vitamin | A2 | Health & Lifestyle
sleep | /sliːp/ | v/n | Ngủ / Giấc ngủ | A1 | Health & Lifestyle
rest | /rest/ | v/n | Nghỉ ngơi | A1 | Health & Lifestyle
fresh | /freʃ/ | adj | Tươi, trong lành | A2 | Health & Lifestyle
walk | /wɔːk/ | v/n | Đi bộ | A1 | Health & Lifestyle
water | /ˈwɔːtər/ | n | Nước | A1 | Health & Lifestyle
lifestyle | /ˈlaɪfstaɪl/ | n | Lối sống | A2 | Health & Lifestyle
nature | /ˈneɪtʃər/ | n | Tự nhiên, thiên nhiên | A2 | The Natural World
environment | /ɪnˈvaɪrənmənt/ | n | Môi trường | A2 | The Natural World
world | /wɜːld/ | n | Thế giới | A1 | The Natural World
earth | /ɜːθ/ | n | Trái Đất | A2 | The Natural World
air | /eər/ | n | Không khí | A1 | The Natural World
plant | /plɑːnt/ | n | Thực vật, cây cối | A1 | The Natural World
tree | /triː/ | n | Cây lớn | A1 | The Natural World
flower | /ˈflaʊər/ | n | Bông hoa | A1 | The Natural World
leaf | /liːf/ | n | Lá cây | A2 | The Natural World
grass | /ɡrɑːs/ | n | Bãi cỏ, cỏ | A2 | The Natural World
landscape | /ˈlændskeɪp/ | n | Phong cảnh, cảnh quan | A2 | The Natural World
mountain | /ˈmauntən/ | n | Ngọn núi | A2 | The Natural World
hill | /hɪl/ | n | Đồi, ngọn đồi | A2 | The Natural World
valley | /ˈvæli/ | n | Thung lũng | A2 | The Natural World
river | /ˈrɪvər/ | n | Con sông | A1 | The Natural World
lake | /leɪk/ | n | Hồ nước | A1 | The Natural World
sea | /siː/ | n | Biển | A1 | The Natural World
ocean | /ˈəʊʃn/ | n | Đại dương | A2 | The Natural World
beach | /biːtʃ/ | n | Bãi biển | A1 | The Natural World
coast | /kəʊst/ | n | Bờ biển, vùng duyên hải | A2 | The Natural World
island | /ˈaɪlənd/ | n | Hòn đảo | A2 | The Natural World
forest | /ˈfɒrɪst/ | n | Khu rừng | A2 | The Natural World
wood | /wʊd/ | n | Rừng cây nhỏ / Gỗ | A2 | The Natural World
desert | /ˈdezət/ | n | Sa mạc | A2 | The Natural World
field | /fiːld/ | n | Cánh đồng | A1 | The Natural World
waterfall | /ˈwɔːtəfɔːl/ | n | Thác nước | A2 | The Natural World
sky | /skaɪ/ | n | Bầu trời | A1 | The Natural World
sun | /sʌn/ | n | Mặt trời | A1 | The Natural World
moon | /muːn/ | n | Mặt trăng | A1 | The Natural World
star | /stɑːr/ | n | Ngôi sao | A1 | The Natural World
animal | /ˈænɪml/ | n | Động vật, thú nuôi | A1 | The Natural World
wildlife | /ˈwaɪldlaɪf/ | n | Động vật hoang dã | A2 | The Natural World
bird | /bɜːd/ | n | Con chim | A1 | The Natural World
fish | /fɪʃ/ | n | Con cá | A1 | The Natural World
insect | /ˈɪnsekt/ | n | Côn trùng | A2 | The Natural World
wild | /waɪld/ | adj | Hoang dã | A2 | The Natural World
lion | /ˈlaɪən/ | n | Sư tử | A1 | The Natural World
tiger | /ˈtaɪɡər/ | n | Con hổ | A1 | The Natural World
elephant | /ˈelɪfənt/ | n | Con voi | A1 | The Natural World
monkey | /ˈmʌŋki/ | n | Con khỉ | A1 | The Natural World
bear | /beər/ | n | Con gấu | A2 | The Natural World
snake | /sneɪk/ | n | Con rắn | A1 | The Natural World
crocodile | /ˈcrokədaɪl/ | n | Con cá sấu | A2 | The Natural World
whale | /weɪl/ | n | Cá voi | A2 | The Natural World
shark | /ʃɑːk/ | n | Cá mập | A2 | The Natural World
dolphin | /ˈdɒlfɪn/ | n | Cá heo | A2 | The Natural World
frog | /frɒɡ/ | n | Con ếch | A2 | The Natural World
fox | /fɒks/ | n | Con cáo | A2 | The Natural World
